Tournament,LeftPlayerName,RightPlayerName,Player1Char,Player2Char,Player3Char,Player4Char,Level,Winner,GameNumber
genesis 5,axe,mango,Pikachu_Blue,Fox_Red,NA,NA,Pokemon Stadium,P1:Pikachu_Blue,2
Frame,P1Dmg,P2Dmg,P3Dmg,P4Dmg,P1Stocks,P2Stocks,P3Stocks,P4Stocks,Time
180,35,22,NA,NA,4,4,NA,NA,NA
181,35,22,NA,NA,4,4,NA,NA,NA
182,35,22,NA,NA,4,4,NA,NA,NA
183,35,22,NA,NA,4,4,NA,NA,NA
184,35,22,NA,NA,4,4,NA,NA,NA
185,35,22,NA,NA,4,4,NA,NA,NA
186,35,22,NA,NA,4,4,NA,NA,NA
187,35,22,NA,NA,4,4,NA,NA,NA
188,35,22,NA,NA,4,4,NA,NA,NA
189,35,22,NA,NA,4,4,NA,NA,NA
190,35,22,NA,NA,4,4,NA,NA,NA
191,35,22,NA,NA,4,4,NA,NA,NA
192,35,22,NA,NA,4,4,NA,NA,NA
193,35,22,NA,NA,4,4,NA,NA,NA
194,35,22,NA,NA,4,4,NA,NA,NA
195,35,22,NA,NA,4,4,NA,NA,NA
196,35,22,NA,NA,4,4,NA,NA,NA
197,35,22,NA,NA,4,4,NA,NA,NA
198,35,22,NA,NA,4,4,NA,NA,NA
199,35,22,NA,NA,4,4,NA,NA,NA
200,35,22,NA,NA,4,4,NA,NA,NA
201,35,22,NA,NA,4,4,NA,NA,NA
202,35,22,NA,NA,4,4,NA,NA,NA
203,35,22,NA,NA,4,4,NA,NA,NA
204,35,22,NA,NA,4,4,NA,NA,NA
205,35,22,NA,NA,4,4,NA,NA,NA
206,35,22,NA,NA,4,4,NA,NA,NA
207,35,22,NA,NA,4,4,NA,NA,NA
208,35,22,NA,NA,4,4,NA,NA,NA
209,35,22,NA,NA,4,4,NA,NA,NA
210,35,22,NA,NA,4,4,NA,NA,NA
211,35,22,NA,NA,4,4,NA,NA,NA
212,35,22,NA,NA,4,4,NA,NA,NA
213,35,22,NA,NA,4,4,NA,NA,NA
214,35,22,NA,NA,4,4,NA,NA,NA
215,35,22,NA,NA,4,4,NA,NA,NA
216,35,22,NA,NA,4,4,NA,NA,NA
217,35,22,NA,NA,4,4,NA,NA,NA
218,35,22,NA,NA,4,4,NA,NA,NA
219,35,22,NA,NA,4,4,NA,NA,NA
220,35,22,NA,NA,4,4,NA,NA,NA
221,35,22,NA,NA,4,4,NA,NA,NA
222,35,22,NA,NA,4,4,NA,NA,NA
223,35,22,NA,NA,4,4,NA,NA,NA
224,35,22,NA,NA,4,4,NA,NA,NA
225,46,22,NA,NA,4,4,NA,NA,NA
226,46,22,NA,NA,4,4,NA,NA,NA
227,46,22,NA,NA,4,4,NA,NA,NA
228,46,22,NA,NA,4,4,NA,NA,NA
229,46,22,NA,NA,4,4,NA,NA,NA
230,46,22,NA,NA,4,4,NA,NA,NA
231,46,22,NA,NA,4,4,NA,NA,NA
232,46,22,NA,NA,4,4,NA,NA,NA
233,46,22,NA,NA,4,4,NA,NA,NA
234,46,22,NA,NA,4,4,NA,NA,NA
235,46,22,NA,NA,4,4,NA,NA,NA
236,46,22,NA,NA,4,4,NA,NA,NA
237,48,22,NA,NA,4,4,NA,NA,NA
238,48,22,NA,NA,4,4,NA,NA,NA
239,48,26,NA,NA,4,4,NA,NA,NA
240,48,26,NA,NA,4,4,NA,NA,NA
241,48,26,NA,NA,4,4,NA,NA,NA
242,48,26,NA,NA,4,4,NA,NA,NA
243,48,26,NA,NA,4,4,NA,NA,NA
244,48,26,NA,NA,4,4,NA,NA,NA
245,48,26,NA,NA,4,4,NA,NA,NA
246,48,26,NA,NA,4,4,NA,NA,NA
247,48,26,NA,NA,4,4,NA,NA,NA
248,48,26,NA,NA,4,4,NA,NA,NA
249,48,26,NA,NA,4,4,NA,NA,NA
250,48,26,NA,NA,4,4,NA,NA,NA
251,48,26,NA,NA,4,4,NA,NA,NA
252,48,26,NA,NA,4,4,NA,NA,NA
253,48,26,NA,NA,4,4,NA,NA,NA
254,48,26,NA,NA,4,4,NA,NA,NA
255,48,26,NA,NA,4,4,NA,NA,NA
256,48,26,NA,NA,4,4,NA,NA,NA
257,48,26,NA,NA,4,4,NA,NA,NA
258,48,26,NA,NA,4,4,NA,NA,NA
259,48,26,NA,NA,4,4,NA,NA,NA
260,48,26,NA,NA,4,4,NA,NA,NA
261,48,37,NA,NA,4,4,NA,NA,NA
262,48,37,NA,NA,4,4,NA,NA,NA
263,48,37,NA,NA,4,4,NA,NA,NA
264,48,37,NA,NA,4,4,NA,NA,NA
265,48,37,NA,NA,4,4,NA,NA,NA
266,48,37,NA,NA,4,4,NA,NA,NA
267,48,37,NA,NA,4,4,NA,NA,NA
268,48,37,NA,NA,4,4,NA,NA,NA
269,48,37,NA,NA,4,4,NA,NA,NA
270,48,37,NA,NA,4,4,NA,NA,NA
271,48,37,NA,NA,4,4,NA,NA,NA
272,48,37,NA,NA,4,4,NA,NA,NA
273,48,37,NA,NA,4,4,NA,NA,NA
274,48,37,NA,NA,4,4,NA,NA,NA
275,48,37,NA,NA,4,4,NA,NA,NA
276,48,37,NA,NA,4,4,NA,NA,NA
277,48,37,NA,NA,4,4,NA,NA,NA
278,48,37,NA,NA,4,4,NA,NA,NA
279,48,37,NA,NA,4,4,NA,NA,NA
280,48,37,NA,NA,4,4,NA,NA,NA
281,48,37,NA,NA,4,4,NA,NA,NA
282,48,37,NA,NA,4,4,NA,NA,NA
