Tournament,LeftPlayerName,RightPlayerName,Player1Char,Player2Char,Player3Char,Player4Char,Level,Winner,GameNumber,GameType(Optional)
genesis 5,plup,hbox,NA,Fox_Green,NA,JigglyPuff_Green,Fountain of Dreams,P4:JigglyPuff_Green,1,WF
Frame,P1Dmg,P2Dmg,P3Dmg,P4Dmg,P1Stocks,P2Stocks,P3Stocks,P4Stocks,Time
205,NA,0,NA,10,NA,4,NA,4,NA
206,NA,0,NA,10,NA,4,NA,4,NA
207,NA,0,NA,10,NA,4,NA,4,NA
208,NA,0,NA,10,NA,4,NA,4,NA
209,NA,0,NA,10,NA,4,NA,4,NA
210,NA,0,NA,10,NA,4,NA,4,NA
211,NA,0,NA,10,NA,4,NA,4,NA
212,NA,0,NA,10,NA,4,NA,4,NA
213,NA,0,NA,10,NA,4,NA,4,NA
214,NA,0,NA,10,NA,4,NA,4,NA
215,NA,0,NA,10,NA,4,NA,4,NA
216,NA,0,NA,10,NA,4,NA,4,NA
217,NA,0,NA,10,NA,4,NA,4,NA
218,NA,0,NA,10,NA,4,NA,4,NA
219,NA,0,NA,10,NA,4,NA,4,NA
220,NA,0,NA,10,NA,4,NA,4,NA
221,NA,0,NA,10,NA,4,NA,4,NA
222,NA,0,NA,10,NA,4,NA,4,NA
223,NA,0,NA,10,NA,4,NA,4,NA
224,NA,0,NA,10,NA,4,NA,4,NA
225,NA,0,NA,22,NA,4,NA,4,NA
226,NA,0,NA,22,NA,4,NA,4,NA
227,NA,0,NA,22,NA,4,NA,4,NA
228,NA,0,NA,22,NA,4,NA,4,NA
229,NA,0,NA,22,NA,4,NA,4,NA
230,NA,0,NA,22,NA,4,NA,4,NA
231,NA,0,NA,22,NA,4,NA,4,NA
232,NA,0,NA,22,NA,4,NA,4,NA
233,NA,0,NA,22,NA,4,NA,4,NA
234,NA,0,NA,22,NA,4,NA,4,NA
235,NA,0,NA,22,NA,4,NA,4,NA
236,NA,0,NA,22,NA,4,NA,4,NA
237,NA,0,NA,22,NA,4,NA,4,NA
238,NA,0,NA,22,NA,4,NA,4,NA
239,NA,0,NA,22,NA,4,NA,4,NA
240,NA,0,NA,28,NA,4,NA,4,NA
241,NA,0,NA,28,NA,4,NA,4,NA
242,NA,0,NA,28,NA,4,NA,4,NA
243,NA,0,NA,28,NA,4,NA,4,NA
244,NA,0,NA,28,NA,4,NA,4,NA
245,NA,0,NA,28,NA,4,NA,4,NA
246,NA,0,NA,28,NA,4,NA,4,NA
247,NA,0,NA,32,NA,4,NA,4,NA
248,NA,0,NA,32,NA,4,NA,4,NA
249,NA,0,NA,32,NA,4,NA,4,NA
250,NA,0,NA,32,NA,4,NA,4,NA
251,NA,0,NA,32,NA,4,NA,4,NA
252,NA,0,NA,32,NA,4,NA,4,NA
253,NA,0,NA,32,NA,4,NA,4,NA
254,NA,0,NA,32,NA,4,NA,4,NA
255,NA,0,NA,32,NA,4,NA,4,NA
256,NA,0,NA,32,NA,4,NA,4,NA
257,NA,0,NA,32,NA,4,NA,4,NA
258,NA,0,NA,32,NA,4,NA,4,NA
259,NA,0,NA,32,NA,4,NA,4,NA
