Tournament,LeftPlayerName,RightPlayerName,Player1Char,Player2Char,Player3Char,Player4Char,Level,Winner,GameNumber
genesis 5,hugs,lucky,Samus_Pink,Fox_Red,NA,NA,Dreamland,P2:Fox_Red,1
Frame,P1Dmg,P2Dmg,P3Dmg,P4Dmg,P1Stocks,P2Stocks,P3Stocks,P4Stocks,Time
188,8,15,NA,NA,4,4,NA,NA,NA
189,8,15,NA,NA,4,4,NA,NA,NA
190,8,15,NA,NA,4,4,NA,NA,NA
191,8,15,NA,NA,4,4,NA,NA,NA
192,8,15,NA,NA,4,4,NA,NA,NA
193,8,15,NA,NA,4,4,NA,NA,NA
194,8,15,NA,NA,4,4,NA,NA,NA
195,8,15,NA,NA,4,4,NA,NA,NA
196,8,15,NA,NA,4,4,NA,NA,NA
197,8,15,NA,NA,4,4,NA,NA,NA
198,8,15,NA,NA,4,4,NA,NA,NA
199,8,15,NA,NA,4,4,NA,NA,NA
200,8,15,NA,NA,4,4,NA,NA,NA
201,8,15,NA,NA,4,4,NA,NA,NA
202,8,15,NA,NA,4,4,NA,NA,NA
203,8,15,NA,NA,4,4,NA,NA,NA
204,8,15,NA,NA,4,4,NA,NA,NA
205,8,15,NA,NA,4,4,NA,NA,NA
206,8,15,NA,NA,4,4,NA,NA,NA
207,8,15,NA,NA,4,4,NA,NA,NA
208,23,15,NA,NA,4,4,NA,NA,NA
209,23,15,NA,NA,4,4,NA,NA,NA
210,23,15,NA,NA,4,4,NA,NA,NA
211,23,15,NA,NA,4,4,NA,NA,NA
212,23,15,NA,NA,4,4,NA,NA,NA
213,23,15,NA,NA,4,4,NA,NA,NA
214,23,15,NA,NA,4,4,NA,NA,NA
215,23,15,NA,NA,4,4,NA,NA,NA
216,23,15,NA,NA,4,4,NA,NA,NA
217,23,15,NA,NA,4,4,NA,NA,NA
218,23,15,NA,NA,4,4,NA,NA,NA
219,23,15,NA,NA,4,4,NA,NA,NA
220,23,15,NA,NA,4,4,NA,NA,NA
221,23,15,NA,NA,4,4,NA,NA,NA
222,23,15,NA,NA,4,4,NA,NA,NA
223,23,15,NA,NA,4,4,NA,NA,NA
224,23,15,NA,NA,4,4,NA,NA,NA
225,23,15,NA,NA,4,4,NA,NA,NA
226,23,15,NA,NA,4,4,NA,NA,NA
227,23,15,NA,NA,4,4,NA,NA,NA
228,23,15,NA,NA,4,4,NA,NA,NA
229,23,15,NA,NA,4,4,NA,NA,NA
230,23,15,NA,NA,4,4,NA,NA,NA
231,23,15,NA,NA,4,4,NA,NA,NA
232,23,15,NA,NA,4,4,NA,NA,NA
233,23,15,NA,NA,4,4,NA,NA,NA
234,23,15,NA,NA,4,4,NA,NA,NA
235,23,15,NA,NA,4,4,NA,NA,NA
236,23,15,NA,NA,4,4,NA,NA,NA
237,23,15,NA,NA,4,4,NA,NA,NA
238,23,15,NA,NA,4,4,NA,NA,NA
239,23,15,NA,NA,4,4,NA,NA,NA
240,23,15,NA,NA,4,4,NA,NA,NA
241,23,15,NA,NA,4,4,NA,NA,NA
242,23,15,NA,NA,4,4,NA,NA,NA
243,23,15,NA,NA,4,4,NA,NA,NA
244,23,15,NA,NA,4,4,NA,NA,NA
245,23,15,NA,NA,4,4,NA,NA,NA
246,23,15,NA,NA,4,4,NA,NA,NA
247,23,15,NA,NA,4,4,NA,NA,NA
248,23,15,NA,NA,4,4,NA,NA,NA
249,23,15,NA,NA,4,4,NA,NA,NA
250,23,15,NA,NA,4,4,NA,NA,NA
251,23,15,NA,NA,4,4,NA,NA,NA
252,23,15,NA,NA,4,4,NA,NA,NA
253,23,15,NA,NA,4,4,NA,NA,NA
254,23,15,NA,NA,4,4,NA,NA,NA
